,Selection_Count
max_PTV,5
LOCAL_INTENSITY_HISTOGRAM_GlobalIntensityPeak,5
LOCAL_INTENSITY_BASED_GlobalIntensityPeak,5
histo,5
score_charlson,4
GLCM_JointEntropyLog2,4
GLCM_JointEntropyLog10,4
poids,4
ATCD_neo_NP,4
score_ulcere,4
GLSZM_ZoneSizeNonUniformity,4
INTENSITY-HISTOGRAM_IntensityHistogramKurtosis,3
INTENSITY-BASED_75thIntensityPercentile,3
MORPHOLOGICAL_SurfaceToVolumeRatio,3
score_kc_local,3
MORPHOLOGICAL_Compactness2,2
score_vasc_periph,2
taille,2
sexe,2
etalement,2
dyspnee_NYHA,2
centrale,2
vol_GTV,2
tabac_PA,1
T,1
score_kc_meta,1
BMI,1
BED_10,1
GLCM_ClusterShade,1
ATCD_neo_pulm,1
INTENSITY-BASED_TotalLesionGlycolysis,1
age,1
INTENSITY-BASED_AreaUnderCurveCIVH,1
GLCM_JointVariance,1
mean_PTV,1
OMS,1
tabac,1
score_AIT_AVC,1
MORPHOLOGICAL_Maximum3DDiameter,1
score_age_50,1
score_IDM,1
MORPHOLOGICAL_SphereDiameter,1
score_hepatique_mod,1
score_systeme,1
score_ICC,1
score_BPCO,1
INTENSITY-BASED_MinimumIntensity,1
GLCM_Contrast,0
GLCM_DifferenceAverage,0
GLCM_DifferenceVariance,0
GLCM_InverseDifference,0
GLCM_Dissimilarity,0
GLCM_SumAverage,0
GLCM_SumVariance,0
GLCM_AngularSecondMoment,0
GLSZM_ZoneSizeVariance,0
GLCM_JointMaximum,0
GLCM_JointAverage,0
GLCM_InverseDifferenceMoment,0
LOCAL_INTENSITY_HISTOGRAM_LocalIntensityPeak,0
INTENSITY-HISTOGRAM_MinimumHistogramGradientGreyLevel,0
INTENSITY-HISTOGRAM_MinimumHistogramGradient,0
INTENSITY-HISTOGRAM_MaximumHistogramGradientGreyLevel,0
INTENSITY-HISTOGRAM_MaximumHistogramGradient,0
INTENSITY-HISTOGRAM_RootMeanSquare,0
INTENSITY-HISTOGRAM_Uniformity,0
INTENSITY-HISTOGRAM_AreaUnderCurveCIVH,0
INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog2,0
INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog10,0
INTENSITY-HISTOGRAM_IntensityHistogramQuartileCoefficientOfDispersion,0
INTENSITY-HISTOGRAM_IntensityHistogramCoefficientOfVariation,0
INTENSITY-HISTOGRAM_IntensityHistogramMedianAbsoluteDeviation,0
GLCM_NormalisedInverseDifference,0
GLCM_ClusterProminence,0
GLCM_NormalisedInverseDifferenceMoment,0
GLCM_InverseVariance,0
NGTDM_Contrast,0
NGTDM_Busyness,0
NGTDM_Complexity,0
NGTDM_Strength,0
GLSZM_SmallZoneEmphasis,0
GLSZM_LargeZoneEmphasis,0
GLSZM_LowGrayLevelZoneEmphasis,0
GLSZM_HighGrayLevelZoneEmphasis,0
GLSZM_SmallZoneLowGreyLevelEmphasis,0
GLSZM_SmallZoneHighGreyLevelEmphasis,0
GLSZM_LargeZoneLowGreyLevelEmphasis,0
GLSZM_LargeZoneHighGreyLevelEmphasis,0
GLSZM_GreyLevelNonUniformity,0
GLSZM_NormalisedGreyLevelNonUniformity,0
GLSZM_ZonePercentage,0
NGTDM_Coarseness,0
GLSZM_GreyLevelVariance,0
GLRLM_RunPercentage,0
GLRLM_LowGreyLevelRunEmphasis,0
GLCM_Correlation,0
GLCM_Autocorrelation,0
GLCM_ClusterTendency,0
GLSZM_NormalisedZoneSizeNonUniformity,0
GLRLM_ShortRunsEmphasis,0
GLRLM_LongRunsEmphasis,0
GLRLM_HighGreyLevelRunEmphasis,0
GLRLM_RunLengthNonUniformity,0
GLRLM_ShortRunLowGreyLevelEmphasis,0
GLRLM_ShortRunHighGreyLevelEmphasis,0
INTENSITY-HISTOGRAM_IntensityHistogramMeanAbsoluteDeviation,0
GLRLM_LongRunLowGreyLevelEmphasis,0
GLRLM_LongRunHighGreyLevelEmphasis,0
GLRLM_GreyLevelNonUniformity,0
INTENSITY-HISTOGRAM_IntensityHistogramRobustMeanAbsoluteDeviation,0
INTENSITY-BASED_RootMeanSquareIntensity,0
INTENSITY-HISTOGRAM_IntensityHistogramRange,0
dose_fraction,0
M,0
nbre_cibles,0
loc,0
ATCD_loc_1,0
ATCD_loc_2,0
ATCD_loc_3,0
min_PTV,0
MORPHOLOGICAL_Sphericity,0
MORPHOLOGICAL_Volume,0
MORPHOLOGICAL_ApproximateVolume,0
MORPHOLOGICAL_voxelsCounting,0
MORPHOLOGICAL_SurfaceArea,0
MORPHOLOGICAL_Compacity,0
MORPHOLOGICAL_Compactness1,0
N,0
HTA,0
SAS,0
score_sida,0
score_hepatique_HTP,0
score_lymphome,0
score_leucemie,0
score_IRC,0
score_hemiplegie,0
score_diabete_comp,0
score_diabete,0
score_demence,0
couv_PTV,0
vol_ITV,0
vol_PTV,0
dose_tot,0
tabac_sevre,0
MORPHOLOGICAL_SphericalDisproportion,0
MORPHOLOGICAL_Asphericity,0
INTENSITY-HISTOGRAM_IntensityHistogramInterquartileRange,0
INTENSITY-HISTOGRAM_IntensityHistogram10thPercentile,0
LOCAL_INTENSITY_BASED_LocalIntensityPeak,0
INTENSITY-HISTOGRAM_IntensityHistogramMean,0
INTENSITY-HISTOGRAM_IntensityHistogramVariance,0
INTENSITY-HISTOGRAM_IntensityHistogramSkewness,0
INTENSITY-HISTOGRAM_IntensityHistogramMedian,0
INTENSITY-HISTOGRAM_IntensityHistogramMinimumGreyLevel,0
INTENSITY-HISTOGRAM_IntensityHistogram25thPercentile,0
MORPHOLOGICAL_CentreOfMassShift,0
INTENSITY-HISTOGRAM_IntensityHistogram50thPercentile,0
INTENSITY-HISTOGRAM_IntensityHistogram75thPercentile,0
INTENSITY-HISTOGRAM_IntensityHistogram90thPercentile,0
INTENSITY-HISTOGRAM_IntensityHistogramStd,0
INTENSITY-HISTOGRAM_IntensityHistogramMaximumGreyLevel,0
INTENSITY-HISTOGRAM_IntensityHistogramMode,0
INTENSITY-BASED_IntensityBasedEnergy,0
INTENSITY-BASED_IntensityBasedMedianAbsoluteDeviation,0
INTENSITY-BASED_IntensityBasedRobustMeanAbsoluteDeviation,0
INTENSITY-BASED_IntensityBasedMeanAbsoluteDeviation,0
INTENSITY-BASED_IntensityRange,0
INTENSITY-BASED_IntensityInterquartileRange,0
INTENSITY-BASED_MaximumIntensity,0
INTENSITY-BASED_StandardDeviation,0
INTENSITY-BASED_90thIntensityPercentile,0
INTENSITY-BASED_50thIntensityPercentile,0
INTENSITY-BASED_25thIntensityPercentile,0
INTENSITY-BASED_10thIntensityPercentile,0
INTENSITY-BASED_MedianIntensity,0
INTENSITY-BASED_IntensityKurtosis,0
INTENSITY-BASED_IntensitySkewness,0
INTENSITY-BASED_MeanIntensity,0
MORPHOLOGICAL_IntegratedIntensity,0
GLSZM_ZoneSizeEntropy,0
